track_id,track_key,split
693,G#:minor,training
701,D#:major,validation
705,D:minor,training
716,A:minor,training
717,G:major,training
720,E:minor,training
731,C#:minor,validation
732,C#:minor,training
735,G:major,training
741,A#:major,training
743,F#:minor,training
744,C:major,training
745,G#:major,training
747,C:minor,training
749,C:minor,training
753,F:minor,training
757,C:minor,validation
758,E:minor,training
761,C:minor,training
766,A#:major,training
774,E:minor,training
783,C:minor,training
786,C#:minor,training
787,F#:major,training
788,A:major,training
790,C:minor,training
796,F#:minor,validation
800,D:minor,training
804,D:minor,training
808,G#:major,training
810,C#:major,training
811,E:minor,training
812,F:major,training
816,B:major,training
820,C:major,training
822,F:major,training
823,B:minor,training
824,A#:major,training
830,F:major,training
833,G:minor,training
845,C#:minor,training
851,C:major,training
853,C#:minor,training
858,G:major,training
860,A#:major,training
863,F:minor,training
865,E:minor,training
866,D#:minor,training
869,F:minor,training
870,B:minor,training
873,C#:major,training
875,F:minor,training
881,B:minor,training
882,A#:major,validation
883,D:major,training
884,C#:major,validation
891,G:minor,validation
897,C:major,training
901,G#:minor,training
915,G:minor,training
918,D:minor,training
920,F#:major,training
921,A#:minor,training
923,F:minor,training
929,B:major,validation
935,F:major,training
936,G#:minor,training
940,G:major,training
956,G:minor,validation
957,G#:minor,training
959,A:minor,training
961,A:minor,validation
966,G#:minor,training
968,D#:minor,training
969,F#:minor,validation
978,C:minor,training
980,A#:major,training
981,A#:minor,training
986,F#:major,training
993,A#:minor,training
998,C:minor,training
999,A:minor,training
1005,D:major,validation
1006,C#:minor,training
1011,F#:minor,training
1012,A:minor,training
1017,G:minor,training
1022,G#:minor,training
1026,D#:minor,training
1033,A:minor,training
1036,A:minor,validation
1037,F#:minor,training
1040,C#:minor,training
1041,E:minor,training
1044,D:major,training
1049,F:minor,training
1052,C:minor,training
1057,B:major,training
1058,C#:minor,training
1059,A:minor,training
1067,D#:minor,training
1068,F#:minor,training
1074,A:minor,training
1077,C#:minor,training
1085,F#:major,training
1088,B:major,training
1090,C:minor,training
1091,D#:minor,training
1093,F#:minor,training
1099,F:major,training
1102,F:minor,training
1106,C#:minor,training
1113,C:minor,training
1115,A#:major,training
1117,C:minor,training
1122,F#:minor,training
1126,D:minor,training
1127,A:minor,training
1136,A#:major,training
1137,D:minor,training
1138,C:minor,validation
1146,B:minor,training
1147,A:minor,training
1153,B:minor,training
1160,B:major,training
1164,A:minor,training
1166,F:minor,training
1174,C#:minor,training
1177,D:major,training
1181,A#:major,validation
1186,C#:minor,validation
1189,D:minor,training
1194,D#:major,training
1201,E:minor,training
1203,C:major,training
1216,G#:major,training
1217,D:minor,validation
1222,A:minor,training
1225,G:minor,training
1232,A:minor,training
1234,G:major,training
1235,G:minor,training
1243,C#:minor,training
1247,C#:minor,validation
1249,A#:minor,training
1251,D#:minor,training
1254,F:minor,validation
1255,C#:major,training
1263,F:major,training
1266,D:minor,training
1267,C:minor,training
1273,D:minor,training
1280,A:minor,validation
1296,A:major,training
1300,C#:major,training
1304,G:minor,training
1305,E:major,training
1309,C#:minor,validation
1315,D:major,training
1317,E:major,training
1321,D#:minor,training
1324,G:minor,training
1327,D:minor,training
1328,F:minor,training
1330,C#:major,training
1331,F:major,training
1333,F:major,training
1335,E:major,training
1338,G#:major,training
1342,F#:minor,training
1343,A#:minor,validation
1348,A#:major,training
1349,G#:major,training
1352,F#:major,training
1354,F:minor,training
1357,F:minor,training
1361,E:minor,training
1365,B:minor,validation
1366,B:minor,training
1367,F:major,training
1370,D#:minor,training
1373,E:minor,validation
1379,F#:minor,training
1387,E:minor,training
1388,E:minor,training
1393,C#:major,training
1397,C:minor,training
1402,C#:minor,training
1405,F:major,training
1406,G:minor,training
1407,B:minor,training
1412,C:major,training
1417,C#:minor,training
1418,F#:minor,training
1419,B:minor,training
1421,A#:major,training
1423,F:minor,validation
1424,G#:major,training
1426,C#:minor,training
1428,B:minor,validation
1429,F:major,training
1430,F#:minor,training
1432,A:minor,training
1433,A:major,training
1436,C#:major,validation
1437,C#:minor,training
1443,F#:major,validation
1445,A:minor,training
1452,C:minor,training
1454,A:minor,training
1455,A:minor,training
1456,G:minor,training
1457,B:minor,training
1458,A:major,training
1461,D:major,training
1462,C#:major,validation
1465,C#:major,training
1466,A#:major,training
1468,A:major,training
1469,C#:minor,training
1471,E:minor,training
1475,C#:minor,training
1476,A:minor,training
1480,G#:minor,training
1483,A:minor,training
1490,D#:major,validation
1495,G#:major,training
1504,D#:minor,validation
1507,F#:minor,training
1514,D:major,training
1520,C#:minor,training
1521,G#:minor,validation
1523,F#:minor,training
1524,A:minor,training
1529,E:minor,validation
1530,C:minor,training
1531,F:minor,training
1536,A#:major,training
1537,E:minor,training
1541,C#:major,training
1542,A:minor,validation
1543,F:major,training
1547,D:major,training
1548,G#:major,training
1558,A#:minor,validation
1566,A:minor,training
1568,A:minor,training
1575,F#:minor,training
1584,D#:minor,training
1585,D:major,training
1586,B:minor,training
1589,F#:minor,training
1596,E:minor,training
1602,G:major,training
1604,A:minor,training
1607,G:minor,training
1611,F#:minor,training
1613,G:minor,training
1621,D#:major,validation
1622,E:minor,training
1623,C:minor,training
1626,A:minor,training
1630,A#:minor,training
1631,C#:minor,training
1633,F:minor,training
1639,C:minor,training
1642,C:minor,training
1648,B:minor,training
1655,C:minor,training
1656,D:minor,validation
1658,D#:major,validation
1663,F#:minor,training
1665,G:minor,training
1668,F:minor,training
1671,C:minor,training
1675,D#:minor,training
1677,A:minor,training
1682,G:minor,training
1686,F:minor,training
1690,C:major,training
1692,A:minor,training
1693,A:minor,training
1695,B:minor,training
1696,G#:minor,training
1698,F:minor,training
1700,A:minor,training
1704,C#:major,training
1706,F:minor,training
1715,C:minor,training
1716,A#:minor,training
1719,C#:minor,training
1722,C#:minor,validation
1724,C#:minor,training
1725,G:minor,training
1727,F:minor,training
1728,F:minor,training
1729,E:minor,training
1730,D#:major,training
1734,F:minor,training
1741,F:minor,training
1744,E:minor,training
1748,A:major,training
1752,C#:minor,training
1754,E:minor,training
1764,B:major,training
1766,E:major,training
1768,C:major,training
1770,D:minor,training
1773,C:minor,training
1774,F:major,training
1776,F#:minor,training
1783,C#:minor,training
1784,D:major,training
1785,D#:minor,training
1786,F#:minor,training
1787,C#:minor,training
1791,A:major,training
1793,A#:major,training
1794,D#:major,training
1802,G#:major,training
1807,G:major,training
1816,G:major,training
1821,E:major,training
1827,C#:major,training
1831,G:major,training
1833,D:minor,training
1834,C:major,training
1839,F:minor,training
1841,C#:minor,training
1855,F#:minor,validation
1856,F:minor,training
1858,C#:minor,training
1863,G:major,training
1870,G#:minor,training
1871,D:minor,training
1874,B:minor,training
1879,F:minor,training
1880,E:minor,training
1882,C:minor,validation
1886,E:major,training
1889,G:major,training
1891,D:major,training
1894,E:major,validation
1902,B:minor,training
1904,D:minor,training
1910,A:minor,training
1914,C#:minor,training
1919,F:minor,training
1925,F#:major,training
1926,B:minor,training
1930,C:minor,training
1932,C#:minor,training
1934,C:minor,training
1949,G:minor,training
1953,C:minor,training
1957,G:major,validation
1962,G#:minor,training
1964,F:minor,training
1968,G:minor,validation
1972,E:minor,validation
1980,G:minor,training
1982,G:minor,training
1987,G#:major,training
1991,C:minor,training
1995,B:minor,training
1999,G#:minor,training
2001,C:minor,training
2003,D:minor,training
2007,C#:major,validation
2012,F:minor,validation
2018,G#:major,training
2019,D:minor,validation
2021,G:major,training
2029,D#:major,training
2033,C:minor,training
2034,C#:minor,training
2043,G:minor,training
2047,A#:major,training
2048,E:major,training
2050,E:major,validation
2053,D:minor,training
2054,C#:minor,training
2058,C:minor,training
2059,C:minor,training
2063,F:minor,training
2072,F:minor,validation
2075,B:minor,training
2085,A#:minor,training
2086,D#:major,training
2088,E:minor,training
2091,A#:minor,training
2097,A#:minor,validation
2098,D#:minor,training
2103,E:minor,training
2105,F:minor,training
2106,G:major,training
2113,F:minor,training
2114,F:minor,training
2117,A#:minor,training
2120,C:minor,training
2121,G:minor,training
2124,E:minor,training
2126,D:minor,training
2127,D#:major,training
2136,F:major,training
2137,A#:major,training
2139,E:minor,training
2141,C#:minor,training
2145,E:minor,training
2159,A:major,training
2162,G:minor,training
2165,D:minor,training
2169,D#:minor,training
2171,B:major,training
2174,D:major,training
2179,D:major,training
2181,C:minor,training
2185,C:minor,training
2186,A:minor,training
2193,C:major,training
2201,F:minor,training
2204,C:minor,training
2205,D#:minor,validation
2212,D#:minor,training
2215,G:minor,training
2217,B:minor,training
2220,C#:minor,training
2224,G#:minor,validation
2235,E:minor,training
2236,E:minor,training
2238,A:major,training
2242,D:minor,training
2244,F:minor,training
2256,D#:minor,training
2258,F:minor,training
2267,G#:major,validation
2269,G:minor,training
2275,G:minor,validation
2286,E:minor,training
2287,A:major,training
2288,C:minor,validation
2294,A#:minor,training
2296,A#:minor,validation
2297,G#:minor,training
2301,C:minor,training
2305,D#:minor,training
2307,B:minor,training
2313,F:minor,training
2318,D:minor,training
2319,C#:minor,training
2323,A:minor,validation
2330,D:minor,training
2334,E:major,training
2336,G:major,training
2347,C:minor,training
2350,A#:major,training
2353,F:minor,training
2359,D:minor,training
2371,F:minor,training
2373,C#:minor,training
2378,D#:major,training
2382,G#:minor,training
2384,G:major,training
2386,G#:major,training
2387,G#:minor,training
2395,A:major,training
2398,A#:major,training
2402,C#:minor,training
2407,C:minor,training
2417,D#:minor,validation
2419,G:major,training
2429,E:minor,training
2432,D:minor,training
2434,B:minor,training
2435,G:minor,training
2441,C:minor,training
2445,A:minor,training
2448,B:minor,training
2451,E:minor,validation
2453,A#:major,training
2458,E:minor,training
2465,F:minor,training
2467,G#:major,training
2469,C#:minor,training
2473,G:major,validation
2476,A#:minor,training
2479,D:minor,training
2485,F:minor,training
2488,E:minor,training
2492,G:minor,training
2493,E:minor,training
2494,F:minor,training
2496,C#:minor,training
2497,E:major,training
2500,E:minor,validation
2502,F:major,training
2504,B:major,training
2507,B:major,training
2515,D:major,training
2519,B:major,validation
2526,D:minor,training
2534,G:major,training
2540,C#:major,training
2541,E:minor,training
2542,G#:minor,training
2549,B:minor,training
2553,F#:minor,training
2554,E:major,validation
2556,F:minor,training
2560,F#:minor,training
2567,G#:major,validation
2570,A:major,training
2584,F:minor,training
2585,C:minor,validation
2588,B:minor,training
2594,C#:minor,training
2600,C:minor,training
2604,C:minor,training
2605,D:major,training
2607,A:major,validation
2609,D#:major,training
2611,A:minor,training
2615,F:minor,training
2616,C#:minor,training
2619,D:major,training
2620,E:minor,training
2628,D:minor,training
2632,D:minor,training
2638,D:minor,training
2640,D#:major,training
2642,F:minor,training
2644,C:major,training
2646,G#:minor,training
2647,G:minor,training
2648,G#:minor,training
2657,A#:major,validation
2660,C#:major,training
2663,A#:minor,validation
2664,D:major,validation
2673,E:minor,training
2675,F:major,training
2676,C:minor,training
2679,E:minor,training
2680,C:minor,training
2681,F:minor,training
2685,B:minor,training
2699,G:minor,training
2705,G:major,training
2707,A:minor,training
2709,D:minor,training
2710,C:minor,training
2712,F:major,validation
2713,G#:minor,training
2714,C:minor,training
2717,C:major,training
2722,C#:major,training
2723,D:minor,training
2728,A#:minor,training
2729,E:minor,training
2731,E:minor,training
2732,A#:major,training
2738,D:minor,training
2739,F:minor,training
2740,G:minor,training
2744,A:minor,validation
2748,A#:minor,training
2752,A#:major,training
2753,A:minor,training
2758,A:major,training
2760,G#:major,training
2763,A:minor,training
2766,C:minor,training
2771,A#:minor,training
2772,F:minor,training
2774,G:minor,training
2775,F:minor,training
2778,D:minor,training
2786,A#:minor,training
2787,F#:major,training
2790,G:major,training
2791,G#:major,training
2793,D#:major,training
2802,D:major,training
2806,A#:minor,training
2814,D:major,training
2818,F:minor,training
2820,G:minor,training
2823,D:minor,training
2828,A#:minor,training
2830,C:major,training
2832,F:minor,training
2839,F#:minor,training
2845,F:minor,validation
2856,G:major,training
2859,F:minor,validation
2861,D:minor,training
2864,C#:minor,training
2868,B:minor,training
2869,A:minor,training
2875,D:minor,training
2877,D#:major,training
2883,F:minor,training
2885,G:minor,training
2888,D#:minor,training
2893,C:minor,training
2894,A#:major,training
2895,A#:minor,training
2901,D:major,validation
2902,F:minor,training
2906,D#:minor,validation
2915,D:minor,training
2922,E:minor,training
2930,B:major,training
2932,E:major,training
2937,D:minor,training
2942,C#:major,training
2945,C:minor,validation
2952,G:minor,training
2956,E:major,training
2959,G:major,training
2960,B:minor,training
2964,A:minor,training
2965,C:minor,training
2966,B:minor,validation
2969,A#:major,training
2971,G:minor,training
2976,F:major,training
2978,E:minor,training
2982,D:major,training
2985,G:minor,validation
2986,B:major,training
2989,D:minor,training
2990,F:minor,training
2991,D#:minor,training
3000,A:minor,training
3002,G#:major,training
3006,C#:minor,validation
3024,A#:major,validation
3026,F:minor,training
3027,F#:major,training
3029,D:minor,training
3033,A#:minor,validation
3034,G:major,training
3036,D:minor,training
3037,F:major,training
3038,D#:minor,training
3039,C:minor,training
3044,F:major,training
3045,F:minor,validation
3051,B:minor,training
3054,C:minor,training
3062,C:minor,training
3066,A#:major,training
3067,G:minor,validation
3070,D#:minor,training
3072,E:minor,training
3078,A#:minor,training
3083,A#:major,training
3087,G#:major,training
3094,D#:major,training
3095,D:major,training
3099,D:major,training
3101,A:minor,training
3104,F#:minor,training
3108,A#:minor,training
3113,F#:minor,training
3115,A#:minor,training
3118,C:minor,training
3119,C#:minor,training
3120,A#:minor,training
3121,F#:minor,training
3123,G#:major,training
3126,G:major,training
3134,G#:minor,training
3135,C:minor,training
3139,G:major,training
3141,E:minor,training
3143,C#:minor,training
3144,C#:minor,training
3146,C:minor,training
3149,D:minor,validation
3154,C:minor,training
3159,D:minor,training
3163,C#:minor,training
3164,C:major,validation
3167,A:minor,training
3169,F#:minor,training
3175,G:minor,training
3180,C:major,training
3190,B:major,training
3192,D:minor,training
3194,A:minor,training
3196,G#:major,training
3199,D:minor,training
3201,D:major,training
3207,F:minor,training
3208,E:minor,training
3210,A:minor,training
3212,C#:minor,validation
3220,A#:minor,training
3224,E:minor,validation
3225,F:minor,validation
3228,C:minor,training
3231,F:minor,training
3232,A#:major,training
3239,C#:minor,training
3241,E:minor,training
3246,E:minor,training
3247,D#:minor,training
3249,G#:major,training
3250,A:minor,training
3251,F:minor,validation
3252,F:minor,training
3266,A#:minor,training
3278,F#:minor,training
3279,G:major,training
3286,D:minor,training
3289,G:minor,training
3293,C:minor,training
3299,G:major,training
3302,G#:major,training
3303,F#:major,validation
3304,G#:major,training
3306,G#:major,training
3308,A#:minor,training
3310,C#:minor,validation
3313,F:minor,training
3314,D:minor,training
3316,G#:major,validation
3319,B:major,validation
3320,B:minor,training
3323,F#:major,training
3324,F:minor,training
3325,C:minor,training
3328,G#:minor,validation
3330,C#:minor,training
3342,F#:minor,training
3345,F#:minor,training
3346,C:minor,validation
3350,B:minor,training
3359,G:minor,training
3360,C#:major,training
3362,C:minor,training
3364,B:major,training
3371,D#:minor,training
3376,C:minor,training
3380,G:minor,training
3387,F#:minor,training
3388,F:minor,validation
3389,F:major,training
3392,F:major,training
3395,G#:major,training
3397,C#:major,training
3399,A#:minor,training
3404,F:minor,training
3406,B:major,training
3409,A:major,training
3410,F:major,training
3413,G:major,training
3415,D#:minor,training
3418,F:minor,training
3420,E:minor,training
3426,F:major,training
3431,E:major,validation
3435,A#:major,training
3444,F#:minor,training
3450,F:minor,training
3452,C:minor,training
3456,G#:minor,training
3459,G#:minor,training
3461,D#:major,training
3463,F:minor,training
3465,B:minor,training
3468,D:minor,training
3473,C:major,training
3474,F:minor,training
3475,C:minor,training
3477,C:minor,training
3483,C:major,training
3486,G#:major,training
3488,F:major,training
3489,D:minor,training
3490,G#:minor,training
3495,C:minor,training
3497,C#:minor,training
3503,A:minor,training
3505,D#:minor,training
3510,D:minor,training
3513,C#:minor,training
3516,F:major,training
3518,D:minor,training
3521,C:minor,training
3524,F:minor,training
3529,B:minor,training
3530,A#:minor,training
3531,C:minor,validation
3535,A:minor,training
3538,A#:major,training
3541,C#:major,training
3545,F:major,validation
3555,D:minor,training
3556,G#:minor,training
3559,E:minor,training
3563,E:minor,training
3573,C:minor,validation
3575,F:minor,training
3580,C:minor,training
3584,D:minor,training
3588,D#:major,validation
3589,E:minor,training
3590,D:minor,training
3591,C#:major,training
3594,C:minor,validation
3595,E:minor,training
3598,F:major,training
3600,D#:minor,training
3603,G:minor,training
3606,A:minor,training
3609,D:minor,training
3612,D:minor,training
3618,C#:minor,training
3625,A:minor,training
3626,C:minor,training
3631,F#:major,training
3639,C#:major,validation
3641,A:minor,training
3642,E:major,training
3645,F#:minor,training
3647,A#:major,training
3652,C#:minor,validation
3655,C#:major,training
3656,D:major,training
3660,G:minor,training
3669,F:minor,training
3671,D:minor,training
3676,C#:minor,training
3684,E:minor,training
3687,A#:minor,training
3693,C#:minor,training
3694,C:minor,training
3698,C:minor,validation
3711,F:major,training
3713,C#:major,training
3717,A:minor,training
3718,A:major,training
3721,G#:major,training
3735,G#:major,validation
3739,F:minor,training
3740,D#:major,validation
3745,G#:major,training
3746,G:minor,validation
3756,G#:minor,training
3758,E:minor,training
3763,F:major,training
3766,F#:major,training
3768,D:minor,training
3771,A#:minor,training
3777,G:major,training
3779,D#:minor,validation
3781,F:minor,training
3783,A:minor,training
3784,B:major,training
3788,D:minor,training
3798,F:minor,training
3799,F#:minor,training
3806,A#:major,training
3809,E:major,training
3810,F#:major,training
3818,G:major,training
3823,C#:minor,training
3833,D#:major,validation
3840,A:major,training
3841,F#:major,training
3847,C:minor,training
3848,G#:major,training
3849,G:minor,training
3856,D:major,validation
3858,E:minor,validation
3859,G:major,training
3863,G#:major,training
3866,C:minor,validation
3870,F:minor,training
3871,C#:minor,training
3875,D#:minor,training
3876,D:major,training
3881,A:minor,training
3882,E:minor,training
3883,A#:minor,training
3891,C:major,training
3893,C:major,training
3896,G:major,training
3897,B:minor,training
3899,D#:major,training
3901,C:major,training
3911,D:minor,training
3913,E:minor,training
3915,A:minor,training
3922,B:minor,training
3923,G:major,training
3926,D#:minor,training
3929,G:minor,training
3932,B:minor,training
3936,C#:minor,validation
3942,A#:major,training
3943,D:minor,training
3948,F#:minor,training
3952,A:minor,training
3960,C#:minor,training
3966,D:minor,training
3967,E:minor,training
3969,A:major,training
3971,E:minor,training
3972,F:major,training
3973,F:minor,validation
3974,F:minor,training
3982,D:minor,training
3986,C#:minor,validation
3988,C#:minor,training
3995,F:minor,training
3997,F:minor,validation
3999,E:minor,training
4003,A#:major,validation
4004,B:minor,training
4006,E:minor,validation
4008,C:minor,validation
4013,D:minor,training
4016,A#:minor,training
4019,C:minor,validation
4021,B:minor,training
4024,C#:major,training
4025,C:minor,training
4027,G:minor,training
4029,G:minor,training
4030,D:major,training
4033,C#:major,training
4036,A#:minor,validation
4038,G:minor,training
4057,A:minor,training
4059,F:major,training
4061,G:minor,training
4075,A#:major,training
4077,D#:minor,training
4083,A:minor,validation
4084,F:minor,training
4085,B:minor,training
4088,E:minor,training
4089,D:minor,training
4094,D#:minor,validation
4095,D:minor,training
4097,C#:minor,training
4106,D:major,training
4109,G#:major,training
4112,E:minor,training
4115,D:minor,training
4117,G:major,training
4121,C#:minor,training
4129,D:minor,training
4133,F:minor,training
4145,D#:major,training
4152,D:minor,training
4154,G:minor,training
4168,F#:major,training
4174,G#:minor,validation
4178,C#:major,training
4179,A:major,training
4183,C:minor,training
4184,B:minor,training
4188,G:minor,validation
4200,F:major,training
4202,E:minor,training
4211,G:minor,training
4212,B:major,validation
4213,A#:major,validation
4214,D:minor,training
4216,C#:major,training
4222,G:major,validation
4230,D:major,training
4234,A:minor,validation
4235,F#:major,validation
4238,C:minor,training
4239,E:major,training
4248,A:minor,validation
4250,F#:minor,training
4253,F:minor,validation
4259,A:minor,training
4268,D:major,training
4270,E:minor,training
4276,G#:major,training
4277,D#:minor,training
4279,B:minor,validation
4281,D#:minor,training
4284,C:minor,training
4285,A#:minor,training
4289,F#:minor,training
4301,C#:minor,validation
4303,D:major,training
4304,D:major,training
4305,G:minor,training
4308,D:minor,training
4317,D:major,training
4320,E:minor,training
4325,A#:minor,training
4326,G:minor,validation
4329,E:minor,training
4330,C:minor,training
4332,F#:major,validation
4338,A#:minor,validation
4340,D#:major,validation
4342,G:minor,training
4343,E:major,training
4349,C:minor,training
4353,D#:minor,training
4354,C#:major,training
4355,B:major,training
4365,G#:major,training
4371,D:minor,training
4378,C#:minor,training
4384,F:minor,validation
4386,A#:minor,training
4390,G:minor,training
4395,G#:major,training
4397,G:minor,training
4398,C#:major,validation
4404,C#:minor,training
4405,D:minor,training
4406,G:minor,training
4407,D#:major,training
4408,A:major,training
4409,G:major,training
4410,E:minor,training
4414,C:minor,training
4418,F:minor,training
4420,G:major,training
4422,F#:minor,training
4424,C:minor,training
4425,E:minor,validation
4426,A#:minor,training
4428,D:major,training
4433,D#:minor,training
4438,C#:minor,training
4439,A#:major,training
4445,F:major,training
4456,G#:major,training
4462,D:minor,training
4467,F:minor,training
4471,D:minor,training
4480,A#:minor,validation
4487,D:minor,training
4488,E:minor,training
4492,A:major,training
4494,D:major,training
4496,B:minor,validation
4497,C:minor,training
4498,G:minor,training
4503,B:minor,training
4505,C:minor,training
4515,D#:minor,training
4516,D:major,training
4517,C:minor,training
4520,G#:minor,training
4525,B:major,training
4526,F:minor,training
4527,A#:major,validation
4528,F:minor,training
4531,D#:minor,training
4532,C:minor,training
4533,C:major,training
4536,A#:minor,training
4540,C#:minor,training
4542,F:minor,training
4549,D:minor,training
4565,D#:major,training
4566,B:minor,validation
4569,A#:major,validation
4570,D#:major,training
4583,D:minor,training
4590,E:minor,training
4594,D#:major,training
4600,D#:major,validation
4602,F#:minor,training
4603,E:minor,training
4607,D:minor,training
4608,B:minor,training
4609,B:minor,training
4612,A#:minor,training
4616,C#:minor,training
4625,G#:major,training
4626,E:minor,training
4627,C#:minor,training
4632,A#:major,training
4633,D#:minor,training
4634,C#:minor,training
4635,F:minor,training
4636,D:minor,training
4648,F:minor,training
4649,C#:minor,training
4653,C:minor,training
4654,C#:major,training
4662,F#:major,training
4664,F#:major,training
4669,F:minor,training
4670,G:minor,training
4672,E:minor,validation
4675,D:minor,training
4676,F#:minor,training
4678,F:minor,training
4681,G:minor,training
4682,C:major,validation
4683,A:minor,training
4689,D:major,training
4690,B:minor,training
4693,D:minor,training
4696,G:major,training
4699,A:minor,training
4701,D:major,training
4703,D:minor,training
4707,F#:major,training
4709,B:minor,training
4711,A:major,validation
4715,D:minor,training
4721,D:minor,training
4726,F:major,validation
4728,D#:minor,training
4729,G:minor,training
4733,F#:major,training
4741,C#:major,validation
4744,F#:minor,training
4751,D#:major,training
4754,C:minor,training
4755,D#:minor,training
4758,F:minor,training
4766,A#:minor,training
4773,E:minor,training
4778,C#:minor,training
4781,B:minor,training
4784,F:minor,training
4790,E:major,training
4795,E:minor,training
4801,G#:major,training
4804,E:minor,validation
4805,C:minor,training
4807,C:minor,training
4809,F:minor,training
4814,F#:major,training
4815,D#:minor,training
4823,B:minor,training
4825,A:major,training
4827,A#:major,training
4829,C#:minor,training
4832,E:major,training
4836,A:minor,training
4838,E:major,validation
4850,G:minor,training
4854,C:minor,training
4855,G:minor,training
4868,C#:major,training
4869,C:minor,training
4871,F#:major,training
4877,G#:minor,training
4878,E:minor,training
4879,D#:minor,training
4889,D:minor,training
4894,C:minor,training
4899,F#:minor,training
4909,C:major,training
4912,F#:major,training
4914,A#:major,training
4921,B:minor,training
4923,A#:major,validation
4924,E:minor,validation
4930,D#:minor,validation
4931,C:minor,training
4937,C:minor,training
4938,G:minor,training
4946,G:minor,training
4947,D:minor,validation
4949,G:major,training
4950,C#:major,training
4953,G:minor,training
4958,F:minor,training
4960,G:major,training
4961,F#:major,training
4962,G#:major,training
4967,A#:major,training
4969,C#:minor,validation
4971,A#:minor,training
4975,D:major,validation
4976,A:minor,training
4981,B:minor,training
4985,B:minor,validation
4986,D:minor,training
4991,A:major,training
4995,D#:major,training
4996,B:major,training
4997,G:major,training
5014,C#:major,training
5015,D#:minor,training
5019,F#:minor,training
5020,C#:major,training
5024,F#:major,training
5025,C:minor,training
5027,F#:minor,training
5037,E:minor,training
5039,A#:major,training
5040,C:minor,training
5041,G#:minor,training
5045,C#:major,validation
5049,F:minor,training
5050,C#:minor,training
5052,G:minor,training
5054,G:minor,training
5059,B:minor,training
5066,C:minor,training
5068,G:minor,training
5072,C:minor,training
